Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.064494,0.320512,0.441288,0.199736,0.930826,0.347212,0.051662,0.323236,0.443322,0.203151,0.936658,0.351587
10,0.144703,0.398088,0.534664,0.261512,0.924466,0.435881,0.179666,0.432566,0.538229,0.326903,0.904975,0.450812
15,0.214151,0.442802,0.577606,0.307999,0.872063,0.528631,0.307057,0.513373,0.600514,0.426233,0.871997,0.537049
20,0.244829,0.476629,0.599942,0.353316,0.871375,0.533669,0.378112,0.551483,0.652690,0.450276,0.897596,0.578371
25,0.262163,0.481092,0.599984,0.362200,0.806643,0.586080,0.441879,0.594378,0.689338,0.499418,0.855644,0.649829
30,0.329397,0.516633,0.628418,0.404849,0.794232,0.612270,0.495994,0.615961,0.688130,0.543792,0.874670,0.640545
35,0.353349,0.512480,0.623606,0.401356,0.763307,0.627534,0.553958,0.638062,0.701063,0.575060,0.891778,0.641700
40,0.332488,0.513808,0.644402,0.383214,0.739831,0.683337,0.581457,0.656219,0.729394,0.583043,0.893632,0.673498
45,0.358892,0.511778,0.628911,0.394646,0.744906,0.649038,0.603702,0.672434,0.732261,0.612608,0.894943,0.675174
50,0.355140,0.512232,0.629357,0.395108,0.734182,0.663211,0.637307,0.691246,0.729517,0.652975,0.918008,0.648424
55,0.404690,0.522738,0.626698,0.418777,0.715543,0.689747,0.667728,0.702984,0.735974,0.669994,0.916278,0.659304
60,0.372058,0.516971,0.623782,0.410160,0.708239,0.683793,0.671716,0.702942,0.732074,0.673810,0.917539,0.656399
65,0.367676,0.499547,0.601274,0.397820,0.695515,0.676778,0.674708,0.700850,0.727341,0.674359,0.915641,0.650667
70,0.381946,0.504048,0.597453,0.410644,0.689327,0.674032,0.677183,0.699889,0.724974,0.674803,0.914218,0.649891
75,0.380506,0.509993,0.607028,0.412958,0.695455,0.667755,0.678809,0.702281,0.726750,0.677811,0.914743,0.650497
80,0.377252,0.503788,0.600282,0.407294,0.690475,0.665328,0.675242,0.701330,0.726068,0.676592,0.916577,0.649409
