Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.010138,0.191877,0.299031,0.084724,0.884418,0.236854,0.027061,0.179168,0.267186,0.091151,0.869910,0.219964
10,0.013307,0.165270,0.229187,0.101354,0.929776,0.161911,0.012445,0.151891,0.214673,0.089110,0.926162,0.152520
15,0.000455,0.118394,0.165811,0.070977,0.916084,0.111356,0.000286,0.099253,0.142045,0.056462,0.913241,0.097940
20,0.000671,0.129310,0.173466,0.085155,0.932455,0.117200,0.001479,0.144127,0.195622,0.092633,0.935756,0.132436
25,0.000871,0.114822,0.172222,0.057422,0.919784,0.116421,0.000370,0.111902,0.169704,0.054100,0.910143,0.113597
30,0.000395,0.103223,0.148745,0.057701,0.918487,0.100619,0.000280,0.103136,0.148270,0.058002,0.909229,0.100384
35,0.000226,0.101744,0.154668,0.048820,0.894388,0.102379,0.000697,0.098530,0.139390,0.057670,0.904340,0.097167
40,0.000666,0.097914,0.132931,0.062898,0.921176,0.087965,0.000553,0.092591,0.125762,0.059420,0.923625,0.084714
45,0.000203,0.131026,0.212562,0.049490,0.849455,0.188546,0.000123,0.145967,0.249320,0.042615,0.874428,0.209146
50,0.002190,0.242255,0.392618,0.091893,0.924154,0.313010,0.003704,0.234610,0.385368,0.083851,0.925352,0.315103
55,0.073698,0.334013,0.496868,0.171157,0.899348,0.422858,0.077298,0.338597,0.500558,0.176635,0.892961,0.429116
60,0.080188,0.339018,0.497560,0.180477,0.880277,0.426868,0.126638,0.367767,0.516405,0.219128,0.887758,0.443780
65,0.164672,0.391414,0.555416,0.227413,0.834245,0.509815,0.169330,0.429283,0.575670,0.282896,0.849636,0.517034
70,0.182326,0.413530,0.571306,0.255754,0.869904,0.501320,0.205684,0.446999,0.573208,0.320790,0.847544,0.517671
75,0.176871,0.415185,0.570336,0.260034,0.860428,0.503756,0.214556,0.457420,0.584364,0.330477,0.865921,0.521505
80,0.185754,0.427398,0.581728,0.273068,0.832154,0.528938,0.238996,0.474011,0.596894,0.351128,0.839075,0.545444
