Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.044859,0.277518,0.431100,0.123935,0.910097,0.348860,0.058781,0.313314,0.458966,0.167662,0.921852,0.372124
10,0.107277,0.377144,0.505131,0.249158,0.916824,0.408132,0.181809,0.431853,0.542658,0.321047,0.918847,0.449047
15,0.188335,0.437054,0.581161,0.292947,0.876411,0.514956,0.263346,0.490130,0.609420,0.370841,0.878660,0.549844
20,0.256369,0.480761,0.614871,0.346649,0.882694,0.540633,0.407812,0.574725,0.666385,0.483066,0.903231,0.590056
25,0.316872,0.528706,0.660284,0.397125,0.812476,0.634326,0.450393,0.601124,0.689390,0.512857,0.865434,0.645586
30,0.332069,0.537529,0.647552,0.427506,0.839134,0.616631,0.525094,0.632540,0.705748,0.559332,0.911390,0.637515
35,0.330635,0.489392,0.610642,0.368142,0.752320,0.623753,0.567976,0.654388,0.720853,0.587922,0.913139,0.656709
40,0.335711,0.496590,0.618969,0.374212,0.779754,0.626322,0.600238,0.663740,0.720605,0.606876,0.921295,0.642816
45,0.360009,0.533353,0.645318,0.421389,0.816686,0.608142,0.636651,0.672145,0.717240,0.627050,0.937966,0.628455
50,0.394847,0.538264,0.637641,0.438887,0.784636,0.624369,0.663502,0.686360,0.718551,0.654169,0.934809,0.626333
55,0.398308,0.525602,0.635685,0.415520,0.762862,0.641547,0.670299,0.688364,0.718774,0.657953,0.923088,0.629893
60,0.398563,0.528545,0.619775,0.437315,0.754431,0.638423,0.679564,0.693836,0.715726,0.671945,0.931192,0.625995
65,0.389694,0.518733,0.613880,0.423587,0.722334,0.644400,0.690133,0.698376,0.716244,0.680509,0.927104,0.625108
70,0.394045,0.531502,0.625647,0.437357,0.738153,0.647626,0.684218,0.694050,0.714458,0.673643,0.923327,0.624957
75,0.404998,0.534932,0.629078,0.440786,0.739643,0.651430,0.682996,0.695110,0.716463,0.673758,0.920298,0.630226
80,0.403182,0.532220,0.629096,0.435344,0.744182,0.647410,0.684386,0.696186,0.714960,0.677412,0.918361,0.631025
