Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.000883,0.095911,0.101892,0.089930,0.940679,0.064151,0.012621,0.093478,0.099964,0.086992,0.948163,0.061422
10,0.001207,0.105078,0.115692,0.094465,0.948151,0.070316,0.023703,0.088031,0.090581,0.085481,0.942532,0.056137
15,0.003620,0.100034,0.110452,0.089616,0.964561,0.066094,0.007613,0.096909,0.108215,0.085604,0.940346,0.065874
20,0.003999,0.108550,0.128092,0.089008,0.942041,0.079312,0.000995,0.128406,0.155953,0.100860,0.942494,0.099256
25,0.000941,0.141489,0.172329,0.110649,0.951968,0.107878,0.002042,0.153232,0.189452,0.117011,0.951736,0.117117
30,0.001421,0.142114,0.173627,0.110599,0.964560,0.106371,0.010043,0.147273,0.173346,0.121200,0.962608,0.107078
35,0.001077,0.135211,0.154901,0.115522,0.956223,0.094691,0.004039,0.154134,0.178220,0.130048,0.944914,0.114197
40,0.003852,0.162788,0.189100,0.136475,0.953714,0.116178,0.027259,0.148038,0.172948,0.123128,0.957071,0.105802
45,0.001171,0.153903,0.208688,0.099117,0.953151,0.131252,0.014064,0.140493,0.170444,0.110543,0.943885,0.108892
50,0.004009,0.137381,0.168548,0.106214,0.926352,0.107377,0.005350,0.155563,0.183040,0.128086,0.961167,0.111916
55,0.017615,0.150321,0.182546,0.118097,0.949640,0.112647,0.002546,0.148193,0.184980,0.111406,0.942003,0.115777
60,0.004309,0.160437,0.188838,0.132036,0.955918,0.116133,0.008914,0.161104,0.184650,0.137558,0.946910,0.116067
65,0.002758,0.155851,0.198743,0.112958,0.944942,0.125824,0.001912,0.148836,0.185363,0.112308,0.949871,0.114378
70,0.004824,0.165021,0.182292,0.147750,0.934933,0.117602,0.006000,0.159819,0.192892,0.126746,0.961769,0.120007
75,0.001154,0.130400,0.164501,0.096300,0.934240,0.105962,0.006169,0.154068,0.179977,0.128160,0.949893,0.111537
80,0.002016,0.118377,0.148321,0.088434,0.945608,0.094924,0.007226,0.150566,0.186141,0.114990,0.939740,0.117774
