Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.001827,0.270212,0.435733,0.104692,0.684157,0.517899,0.001795,0.273397,0.436124,0.110671,0.691682,0.521280
10,0.002335,0.276016,0.437272,0.114760,0.705757,0.510841,0.004367,0.270992,0.431552,0.110432,0.699563,0.523835
15,0.003994,0.274194,0.442442,0.105945,0.710210,0.509279,0.004970,0.290036,0.455635,0.124436,0.715582,0.538516
20,0.003999,0.289889,0.460751,0.119026,0.743402,0.510128,0.007764,0.282834,0.453831,0.111837,0.711777,0.539350
25,0.007854,0.280545,0.441801,0.119288,0.732974,0.483734,0.004621,0.296200,0.461667,0.130733,0.728744,0.527275
30,0.004647,0.281115,0.433799,0.128430,0.708897,0.496975,0.004066,0.287914,0.456996,0.118833,0.727768,0.527504
35,0.001210,0.264918,0.436961,0.092875,0.727853,0.485410,0.002888,0.291334,0.447218,0.135448,0.714695,0.518647
40,0.009087,0.281233,0.429758,0.132707,0.710772,0.467320,0.004759,0.298628,0.463506,0.133749,0.728829,0.528173
45,0.004396,0.266958,0.413146,0.120769,0.700581,0.475172,0.007475,0.302909,0.468742,0.137076,0.751973,0.529124
50,0.014109,0.273559,0.419325,0.127792,0.723875,0.464168,0.007541,0.306158,0.471894,0.140423,0.745224,0.532741
55,0.003192,0.279814,0.436308,0.123321,0.757065,0.457650,0.004120,0.294704,0.452918,0.136489,0.721981,0.517273
60,0.003933,0.244557,0.384257,0.104857,0.682423,0.453626,0.003860,0.289149,0.462370,0.115928,0.738754,0.522054
65,0.002678,0.245067,0.376080,0.114054,0.708756,0.424339,0.003202,0.287028,0.450220,0.123837,0.716984,0.519872
70,0.002377,0.255372,0.400170,0.110575,0.700800,0.440143,0.005706,0.304852,0.465000,0.144705,0.740098,0.520886
75,0.009509,0.285026,0.425317,0.144734,0.735602,0.465818,0.004578,0.299602,0.472216,0.126989,0.770443,0.517717
80,0.004274,0.273507,0.420963,0.126052,0.692755,0.477736,0.002917,0.293195,0.452912,0.133477,0.732886,0.515418
