Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.043532,0.261697,0.301813,0.221581,0.917873,0.202676,0.074344,0.280570,0.313486,0.247653,0.903854,0.212796
10,0.030313,0.301931,0.366446,0.237416,0.934299,0.251594,0.056650,0.329746,0.363204,0.296288,0.940493,0.248927
15,0.027564,0.279735,0.356176,0.203294,0.921378,0.249259,0.055705,0.311534,0.364704,0.258364,0.933027,0.252033
20,0.031486,0.305436,0.376968,0.233904,0.925239,0.267182,0.060114,0.343582,0.389308,0.297856,0.944623,0.272897
25,0.047634,0.300210,0.379878,0.220542,0.934888,0.265748,0.062723,0.339741,0.389516,0.289966,0.926402,0.272887
30,0.037580,0.301300,0.372934,0.229667,0.923313,0.268440,0.058377,0.341644,0.388836,0.294454,0.940213,0.272640
35,0.049539,0.309975,0.389558,0.230392,0.923641,0.278536,0.036467,0.336172,0.389168,0.283175,0.930810,0.276906
40,0.041773,0.318738,0.379008,0.258468,0.939950,0.271792,0.035061,0.340119,0.386192,0.294046,0.925958,0.276026
45,0.067071,0.321606,0.387861,0.255350,0.950231,0.268662,0.038174,0.337668,0.389404,0.285931,0.934310,0.275399
50,0.066852,0.324666,0.384552,0.264780,0.948948,0.265258,0.071884,0.353404,0.386398,0.320410,0.938725,0.270775
55,0.057803,0.305690,0.363216,0.248166,0.929354,0.253995,0.061801,0.340306,0.373568,0.307044,0.932240,0.261189
60,0.027365,0.294662,0.351400,0.237925,0.920968,0.247345,0.057522,0.344981,0.359838,0.330124,0.940830,0.249508
65,0.036972,0.288508,0.341462,0.235556,0.917453,0.243282,0.049769,0.335566,0.357412,0.313721,0.927993,0.244357
70,0.100559,0.316043,0.356553,0.275533,0.941085,0.242253,0.055146,0.333714,0.358290,0.309138,0.943728,0.241145
75,0.037457,0.292973,0.353282,0.232664,0.935075,0.244233,0.047943,0.338316,0.356140,0.320492,0.940772,0.241899
80,0.045544,0.308559,0.352322,0.264795,0.938850,0.243572,0.065242,0.336932,0.353606,0.320258,0.934420,0.244711
