Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.008026,0.121772,0.175875,0.067668,0.933432,0.118903,0.006643,0.130999,0.158094,0.103904,0.918499,0.107682
10,0.016010,0.150875,0.181370,0.120380,0.937674,0.117900,0.024879,0.136947,0.185466,0.088428,0.934856,0.120620
15,0.006822,0.140332,0.177891,0.102773,0.923589,0.123725,0.037102,0.159415,0.196663,0.122168,0.942990,0.128913
20,0.020154,0.161566,0.182855,0.140276,0.921842,0.124145,0.006917,0.145786,0.189591,0.101980,0.926406,0.126072
25,0.015921,0.145839,0.179086,0.112592,0.934321,0.123790,0.003714,0.141772,0.187282,0.096261,0.917331,0.126258
30,0.006579,0.154893,0.189902,0.119884,0.927770,0.126275,0.005183,0.146059,0.187383,0.104735,0.929619,0.122574
35,0.027129,0.131157,0.167739,0.094575,0.927378,0.112263,0.027466,0.152798,0.189442,0.116154,0.919117,0.128919
40,0.023950,0.138168,0.169388,0.106949,0.949381,0.108193,0.002241,0.133620,0.182522,0.084718,0.930590,0.120246
45,0.004674,0.119401,0.152318,0.086483,0.919754,0.098739,0.006341,0.143958,0.172496,0.115420,0.926297,0.116555
50,0.008900,0.138234,0.169133,0.107335,0.916525,0.115623,0.013868,0.136384,0.183234,0.089535,0.930632,0.121405
55,0.036056,0.133219,0.161459,0.104979,0.930815,0.105305,0.006447,0.137212,0.174691,0.099734,0.922262,0.116903
60,0.014050,0.143135,0.156638,0.129633,0.939038,0.099039,0.028310,0.147596,0.184743,0.110450,0.939221,0.122960
65,0.032048,0.138443,0.168753,0.108132,0.937314,0.107639,0.013347,0.138014,0.175411,0.100618,0.919982,0.118791
70,0.027988,0.120134,0.155586,0.084682,0.932714,0.101675,0.003684,0.137535,0.179449,0.095620,0.928374,0.118322
75,0.002394,0.136170,0.165913,0.106428,0.933062,0.109267,0.006606,0.145267,0.180296,0.110238,0.934248,0.116878
80,0.030476,0.151043,0.162208,0.139878,0.936459,0.104647,0.005214,0.148292,0.182725,0.113860,0.949533,0.119322
