Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.004699,0.268085,0.305501,0.230670,0.922789,0.205206,0.006165,0.280103,0.306385,0.253822,0.930834,0.203582
10,0.004225,0.271941,0.344025,0.199858,0.927209,0.235951,0.008729,0.294440,0.337476,0.251404,0.917965,0.232522
15,0.006607,0.279382,0.348080,0.210685,0.925646,0.241322,0.007139,0.304700,0.353390,0.256009,0.910793,0.249904
20,0.007547,0.284384,0.336441,0.232326,0.901147,0.241646,0.013276,0.333211,0.348771,0.317652,0.935798,0.237827
25,0.004275,0.263123,0.353255,0.172992,0.890606,0.264654,0.007961,0.328578,0.388583,0.268572,0.926136,0.275145
30,0.017080,0.295877,0.370143,0.221610,0.915815,0.263302,0.008894,0.325203,0.367686,0.282718,0.922092,0.258552
35,0.003740,0.262579,0.346952,0.178206,0.910228,0.250734,0.007542,0.308384,0.360868,0.255899,0.919510,0.255970
40,0.004948,0.279662,0.343218,0.216106,0.915664,0.237110,0.007277,0.300954,0.345929,0.255981,0.916185,0.244928
45,0.009775,0.293321,0.362996,0.223647,0.925759,0.255041,0.016925,0.329162,0.366008,0.292317,0.924004,0.257493
50,0.006163,0.276756,0.341651,0.211860,0.904631,0.244876,0.012886,0.316855,0.357177,0.276534,0.920670,0.248616
55,0.005551,0.264830,0.322299,0.207361,0.889790,0.235615,0.006940,0.299080,0.328140,0.270020,0.913547,0.229977
60,0.006930,0.269336,0.321628,0.217045,0.908144,0.233334,0.011412,0.304157,0.327109,0.281206,0.930068,0.223348
65,0.006470,0.285497,0.338342,0.232652,0.929862,0.233680,0.009487,0.313144,0.327764,0.298524,0.922902,0.223868
70,0.004795,0.265328,0.324347,0.206308,0.918055,0.223609,0.010090,0.331665,0.340416,0.322913,0.941244,0.228022
75,0.007769,0.303179,0.341492,0.264866,0.936942,0.229996,0.006278,0.297657,0.319791,0.275523,0.918590,0.220649
80,0.007008,0.287174,0.313740,0.260607,0.914561,0.220700,0.011992,0.323191,0.330095,0.316287,0.923342,0.226846
