Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.006718,0.295822,0.325778,0.265866,0.915675,0.228675,0.007955,0.307655,0.329124,0.286186,0.911256,0.230231
10,0.008102,0.254731,0.306214,0.203248,0.911403,0.211773,0.010624,0.313754,0.314958,0.312550,0.931391,0.206852
15,0.009913,0.291269,0.350821,0.231717,0.928526,0.242890,0.009709,0.312937,0.330576,0.295298,0.910998,0.231307
20,0.005609,0.273566,0.338980,0.208152,0.922484,0.238536,0.009091,0.323692,0.342810,0.304573,0.931895,0.232272
25,0.004784,0.242214,0.281807,0.202622,0.910375,0.191482,0.016644,0.291576,0.270023,0.313130,0.928018,0.174346
30,0.006314,0.280615,0.303734,0.257497,0.934079,0.202630,0.009905,0.282045,0.288001,0.276088,0.918943,0.190790
35,0.007068,0.262087,0.272532,0.251641,0.913390,0.185200,0.011202,0.284943,0.261406,0.308480,0.931582,0.166692
40,0.006178,0.249811,0.277116,0.222505,0.914170,0.185706,0.008012,0.263378,0.259017,0.267739,0.919268,0.169430
45,0.006709,0.248944,0.251295,0.246594,0.910233,0.171474,0.011910,0.291014,0.241664,0.340364,0.931054,0.153454
50,0.006770,0.243601,0.253201,0.234001,0.904550,0.166689,0.009667,0.265181,0.223118,0.307244,0.926452,0.142238
55,0.010844,0.249681,0.240322,0.259041,0.923936,0.155319,0.016020,0.279040,0.228773,0.329308,0.936631,0.141609
60,0.006916,0.227076,0.236507,0.217644,0.911540,0.156663,0.010126,0.255745,0.220744,0.290746,0.934244,0.138351
65,0.006949,0.227605,0.232166,0.223044,0.912281,0.154708,0.010916,0.248569,0.219437,0.277701,0.914561,0.138105
70,0.005194,0.230058,0.225005,0.235112,0.915135,0.147088,0.011293,0.257623,0.211225,0.304022,0.922437,0.134397
75,0.017983,0.229875,0.215533,0.244218,0.902031,0.146451,0.012325,0.266980,0.227598,0.306361,0.923137,0.144480
80,0.004865,0.231637,0.237603,0.225671,0.917039,0.156615,0.035700,0.270864,0.214645,0.327085,0.932551,0.132249
