Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.028322,0.129440,0.155397,0.103482,0.900921,0.113679,0.009098,0.128986,0.163756,0.094214,0.917300,0.118863
10,0.035757,0.195314,0.304168,0.086460,0.927461,0.237256,0.007723,0.206519,0.322430,0.090608,0.933536,0.247595
15,0.018478,0.213126,0.305085,0.121168,0.937742,0.234034,0.016850,0.234290,0.333926,0.134654,0.951909,0.251304
20,0.033328,0.224693,0.324808,0.124579,0.937426,0.240474,0.038414,0.253366,0.343404,0.163327,0.953420,0.256032
25,0.020167,0.249296,0.345663,0.152929,0.939526,0.260858,0.061535,0.272436,0.367335,0.177538,0.937688,0.274715
30,0.063953,0.272586,0.344359,0.200814,0.921750,0.255710,0.083235,0.294904,0.368707,0.221102,0.926744,0.271513
35,0.041766,0.281028,0.373160,0.188898,0.921728,0.280495,0.099464,0.316960,0.395671,0.238248,0.923580,0.298315
40,0.058485,0.283760,0.385564,0.181956,0.885074,0.312436,0.122869,0.357257,0.426093,0.288422,0.907154,0.327187
45,0.059706,0.296484,0.393582,0.199386,0.877617,0.313920,0.145655,0.375409,0.434671,0.316147,0.890284,0.338898
50,0.080646,0.320850,0.416256,0.225444,0.871440,0.345967,0.165347,0.399165,0.462082,0.336248,0.877310,0.369500
55,0.072731,0.319238,0.419287,0.219188,0.859348,0.350245,0.175835,0.402471,0.471217,0.333725,0.880518,0.377021
60,0.074424,0.331414,0.431690,0.231138,0.870257,0.355061,0.185674,0.414705,0.477049,0.352361,0.879982,0.384970
65,0.074024,0.326839,0.421490,0.232187,0.855657,0.359540,0.181975,0.418872,0.484371,0.353374,0.875255,0.391036
70,0.080199,0.333217,0.422578,0.243856,0.859028,0.361601,0.187235,0.427587,0.488589,0.366585,0.875492,0.394522
75,0.081175,0.340008,0.430005,0.250012,0.867983,0.360346,0.183329,0.427903,0.490981,0.364826,0.875121,0.396296
80,0.084449,0.329618,0.425590,0.233644,0.858664,0.359821,0.185502,0.426110,0.489215,0.363006,0.875364,0.395360
