Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.056972,0.368411,0.468125,0.268696,0.901951,0.410969,0.070801,0.398977,0.494196,0.303758,0.927456,0.417158
10,0.122659,0.498439,0.621968,0.374909,0.876380,0.573070,0.191963,0.539191,0.651564,0.426818,0.883468,0.601106
15,0.183252,0.536934,0.666933,0.406936,0.824247,0.651131,0.251972,0.572832,0.692545,0.453118,0.839597,0.674652
20,0.263707,0.566748,0.684760,0.448735,0.837302,0.672851,0.378921,0.641621,0.735248,0.547995,0.869121,0.705332
25,0.306056,0.552142,0.671808,0.432475,0.754049,0.718022,0.427127,0.658610,0.754961,0.562260,0.841732,0.747425
30,0.309451,0.583742,0.692630,0.474853,0.814117,0.694567,0.486510,0.689338,0.771824,0.606852,0.901365,0.721429
35,0.300853,0.527380,0.642178,0.412582,0.739395,0.696168,0.534804,0.689363,0.758992,0.619734,0.895166,0.711607
40,0.311816,0.555310,0.664749,0.445873,0.762213,0.693878,0.553915,0.698176,0.758924,0.637426,0.910434,0.696074
45,0.329994,0.563800,0.662068,0.465532,0.770704,0.690534,0.594683,0.706711,0.756624,0.656798,0.932996,0.680220
50,0.372575,0.571952,0.663379,0.480525,0.769438,0.676602,0.624747,0.715666,0.747918,0.683414,0.936128,0.667862
55,0.369841,0.549960,0.647885,0.452034,0.745559,0.680354,0.635532,0.719501,0.746856,0.692145,0.923842,0.672614
60,0.362180,0.547667,0.630626,0.464708,0.718504,0.666720,0.643812,0.719473,0.741442,0.697503,0.920124,0.670087
65,0.379737,0.543478,0.632473,0.454484,0.707152,0.685357,0.650437,0.720170,0.738798,0.701542,0.920082,0.669920
70,0.365894,0.545702,0.628769,0.462635,0.706996,0.690471,0.650466,0.719138,0.739366,0.698909,0.918714,0.668740
75,0.374652,0.548416,0.631849,0.464982,0.707012,0.682576,0.647318,0.718348,0.738536,0.698161,0.917396,0.667796
80,0.379219,0.549406,0.635058,0.463754,0.711718,0.692525,0.652072,0.719386,0.737806,0.700965,0.915230,0.667481
