Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.161829,0.402175,0.524494,0.279856,0.912872,0.432150,0.178117,0.458002,0.572016,0.343987,0.914867,0.477484
20,0.224447,0.480249,0.629123,0.331375,0.851286,0.571027,0.388170,0.566076,0.653908,0.478245,0.886278,0.588991
30,0.305369,0.517496,0.646205,0.388787,0.853883,0.598748,0.482099,0.619069,0.703290,0.534848,0.911795,0.632980
40,0.379992,0.527360,0.641399,0.413321,0.769337,0.636521,0.611828,0.671444,0.721583,0.621306,0.900390,0.663346
50,0.395152,0.530676,0.626900,0.434452,0.792594,0.605629,0.649593,0.660298,0.692706,0.627890,0.931855,0.598606
60,0.366848,0.495510,0.587154,0.403866,0.715701,0.592912,0.656301,0.658585,0.681588,0.635582,0.928932,0.582339
70,0.392844,0.500158,0.593194,0.407121,0.689852,0.637750,0.698392,0.692414,0.714571,0.670257,0.924162,0.628588
80,0.398002,0.495026,0.580803,0.409248,0.656239,0.654357,0.705350,0.698810,0.724014,0.673605,0.913416,0.645397
90,0.418293,0.487423,0.563794,0.411052,0.666362,0.597676,0.706123,0.687232,0.703806,0.670657,0.930143,0.609999
100,0.384241,0.488795,0.574438,0.403151,0.632307,0.683463,0.728308,0.726462,0.745028,0.707895,0.932166,0.665869
110,0.390283,0.474040,0.559155,0.388925,0.608353,0.649461,0.709756,0.734007,0.757069,0.710944,0.927390,0.684814
120,0.405501,0.479516,0.566896,0.392137,0.607459,0.676423,0.724793,0.737696,0.764632,0.710761,0.927430,0.693118
130,0.391842,0.478880,0.563697,0.394062,0.612756,0.673223,0.728614,0.737542,0.761392,0.713691,0.927510,0.689124
140,0.403450,0.473079,0.551922,0.394236,0.585930,0.688988,0.731041,0.741302,0.765648,0.716956,0.924524,0.699222
150,0.400092,0.475812,0.553942,0.397681,0.586328,0.690225,0.729367,0.740717,0.765822,0.715613,0.926001,0.698085
160,0.410485,0.480815,0.562008,0.399623,0.594997,0.682452,0.717848,0.743958,0.769066,0.718849,0.924050,0.703337
