Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.145362,0.347438,0.320604,0.374273,0.946376,0.229725,0.192765,0.387705,0.336732,0.438676,0.953464,0.240970
20,0.328595,0.484078,0.492768,0.475389,0.922131,0.397716,0.538388,0.536208,0.504512,0.567903,0.931918,0.399297
30,0.399461,0.525599,0.534905,0.516294,0.916673,0.452704,0.563066,0.568491,0.549685,0.587298,0.929442,0.455369
40,0.421163,0.522153,0.515125,0.529182,0.926017,0.429295,0.679210,0.575552,0.520446,0.630657,0.957511,0.411438
50,0.502661,0.530477,0.508383,0.552571,0.927349,0.416548,0.740774,0.590368,0.511062,0.669675,0.962551,0.395185
60,0.509451,0.546868,0.521877,0.571858,0.938538,0.428426,0.773778,0.594930,0.510676,0.679185,0.967511,0.394197
70,0.542765,0.556990,0.523376,0.590604,0.933203,0.430181,0.800983,0.617096,0.515741,0.718452,0.968209,0.396278
80,0.549712,0.551660,0.516766,0.586555,0.925532,0.430588,0.804761,0.625360,0.519624,0.731096,0.968960,0.399956
90,0.550260,0.553417,0.515333,0.591502,0.928597,0.425460,0.804487,0.626038,0.518065,0.734010,0.971115,0.396022
100,0.551458,0.545889,0.506021,0.585758,0.924292,0.421809,0.806306,0.624562,0.513920,0.735202,0.971979,0.391520
110,0.560173,0.553666,0.511902,0.595430,0.928645,0.421912,0.805623,0.623955,0.511673,0.736238,0.971330,0.389224
120,0.555009,0.546718,0.504491,0.588944,0.924578,0.420150,0.805989,0.623725,0.510711,0.736738,0.971363,0.388131
130,0.559524,0.555435,0.513066,0.597804,0.930976,0.421712,0.806406,0.623821,0.511707,0.735936,0.971394,0.389085
140,0.556687,0.548261,0.506010,0.590512,0.925494,0.421601,0.805928,0.623334,0.510933,0.735736,0.971384,0.388256
150,0.557213,0.550749,0.511220,0.590276,0.928476,0.421849,0.806356,0.623603,0.510579,0.736628,0.971199,0.388034
160,0.556232,0.552595,0.513569,0.591622,0.931421,0.422288,0.806978,0.623972,0.511131,0.736814,0.970934,0.388624
