Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.089977,0.203981,0.217545,0.190416,0.933984,0.149445,0.120667,0.217808,0.216409,0.219206,0.926823,0.150237
20,-0.152558,0.182830,0.180136,0.185523,0.701858,0.376105,-0.111275,0.204245,0.182399,0.226092,0.714900,0.366696
30,-0.166253,0.171862,0.151188,0.192536,0.707196,0.355571,-0.097200,0.203045,0.166604,0.239486,0.726742,0.352842
40,0.117989,0.219946,0.188601,0.251292,0.709109,0.350782,0.282310,0.268680,0.197468,0.339893,0.724134,0.356044
50,0.103083,0.153392,0.130330,0.176456,0.485098,0.356018,0.270656,0.211247,0.136312,0.286182,0.509886,0.369118
60,0.127475,0.175824,0.146894,0.204754,0.752682,0.225027,0.295134,0.235685,0.159611,0.311760,0.796951,0.158292
70,0.141483,0.196488,0.176692,0.216286,0.942613,0.123646,0.322317,0.264198,0.180470,0.347925,0.958813,0.115496
80,0.158271,0.211821,0.194655,0.228987,0.936332,0.133379,0.354336,0.289147,0.199202,0.379092,0.956360,0.127661
90,0.175876,0.220972,0.199262,0.242680,0.928456,0.137179,0.351871,0.295964,0.204944,0.386986,0.913660,0.132830
100,0.174420,0.231434,0.214845,0.248023,0.930398,0.148807,0.357791,0.306554,0.218671,0.394438,0.946654,0.142669
110,0.181187,0.236404,0.220471,0.252338,0.936122,0.149834,0.361046,0.312264,0.224555,0.399972,0.952807,0.146381
120,0.172868,0.240025,0.224791,0.255259,0.935788,0.152472,0.367957,0.316726,0.228348,0.405103,0.954942,0.149037
130,0.177955,0.244428,0.225765,0.263091,0.935754,0.152859,0.368835,0.316575,0.228774,0.404377,0.954682,0.149179
140,0.185025,0.245582,0.226612,0.264552,0.935542,0.153462,0.371405,0.318582,0.229719,0.407443,0.954015,0.150035
150,0.197862,0.244693,0.224027,0.265358,0.935668,0.151602,0.369656,0.316078,0.228380,0.403776,0.952960,0.149100
160,0.196266,0.245454,0.226074,0.264833,0.935278,0.152915,0.369849,0.319716,0.230264,0.409168,0.953904,0.150445
