Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,-1.000000,0.020000,0.020000,0.020000,0.020000,1.000000,-0.750000,0.020000,0.020000,0.020000,0.020000,0.973333
20,0.001567,0.035111,0.039333,0.030888,0.278892,0.314615,0.022934,0.054597,0.070596,0.038598,0.334131,0.299482
30,0.000020,0.058838,0.088625,0.029052,0.531398,0.131737,0.001193,0.052173,0.076570,0.027775,0.438330,0.249443
40,0.011637,0.052776,0.057585,0.047967,0.737821,0.050242,0.016432,0.076896,0.074536,0.079257,0.718476,0.071217
50,0.041681,0.164559,0.155257,0.173861,0.732326,0.168348,0.049740,0.171359,0.159466,0.183252,0.712753,0.171970
60,0.040904,0.184830,0.181835,0.187825,0.671889,0.191274,0.043534,0.174310,0.164180,0.184440,0.611294,0.189038
70,0.050404,0.253636,0.208040,0.299232,0.937714,0.139093,0.122800,0.273987,0.209148,0.338827,0.946024,0.144414
80,0.103453,0.278380,0.232452,0.324308,0.944204,0.157808,0.136455,0.298840,0.230756,0.366925,0.939049,0.161317
90,0.107071,0.275022,0.240751,0.309294,0.919993,0.169142,0.144764,0.305172,0.249156,0.361189,0.932490,0.174618
100,0.127297,0.292864,0.247410,0.338318,0.945481,0.170898,0.177225,0.319283,0.252005,0.386560,0.947462,0.174136
110,0.136595,0.301116,0.252718,0.349515,0.951528,0.174078,0.187755,0.328567,0.256740,0.400394,0.951176,0.177234
120,0.132193,0.301986,0.256968,0.347004,0.953662,0.177168,0.197995,0.338763,0.262529,0.414997,0.953274,0.179527
130,0.128101,0.306464,0.256602,0.356327,0.954581,0.176518,0.213838,0.345170,0.262175,0.428165,0.954671,0.178779
140,0.139081,0.311750,0.257815,0.365686,0.951831,0.177916,0.240560,0.354798,0.268002,0.441593,0.960155,0.179254
150,0.138968,0.309481,0.257275,0.361687,0.951849,0.177326,0.242876,0.359832,0.269745,0.449920,0.962690,0.179704
160,0.145530,0.306579,0.253064,0.360094,0.945893,0.175150,0.253009,0.359474,0.267840,0.451108,0.962774,0.177870
