Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.209965,0.422985,0.417430,0.428540,0.946200,0.322252,0.245044,0.448572,0.433137,0.464007,0.945068,0.329816
20,0.362696,0.498426,0.491327,0.505525,0.957916,0.381142,0.538688,0.545871,0.501142,0.590598,0.974564,0.378336
30,0.417745,0.501987,0.478742,0.525232,0.946349,0.370158,0.592524,0.540460,0.476630,0.604291,0.956959,0.364165
40,0.456466,0.532959,0.513605,0.552312,0.955905,0.404052,0.727649,0.590592,0.517863,0.663320,0.976500,0.395584
50,0.494702,0.521246,0.476116,0.566375,0.954898,0.364395,0.739306,0.581620,0.481752,0.681489,0.970069,0.359432
60,0.542779,0.537536,0.499249,0.575822,0.954888,0.387716,0.803466,0.609538,0.506587,0.712490,0.974978,0.380486
70,0.561142,0.551631,0.501296,0.601966,0.959423,0.388709,0.828529,0.630074,0.509657,0.750490,0.985922,0.378612
80,0.568538,0.551473,0.498622,0.604324,0.959029,0.386513,0.830471,0.631576,0.506740,0.756412,0.988228,0.374610
90,0.565852,0.551879,0.495236,0.608522,0.961218,0.381660,0.832416,0.630205,0.501477,0.758932,0.989422,0.369077
100,0.573432,0.551121,0.491535,0.610706,0.958802,0.379160,0.833007,0.631034,0.499537,0.762530,0.989472,0.367401
110,0.573860,0.551861,0.491074,0.612647,0.957886,0.379109,0.832509,0.630665,0.498904,0.762426,0.989623,0.366675
120,0.574052,0.552046,0.491105,0.612987,0.958157,0.378938,0.833086,0.631166,0.498924,0.763408,0.989764,0.366451
130,0.573024,0.552355,0.492359,0.612351,0.959938,0.379222,0.833267,0.631191,0.499142,0.763240,0.989094,0.366938
140,0.571776,0.550869,0.490527,0.611212,0.958730,0.378221,0.833408,0.631458,0.499392,0.763523,0.989998,0.367054
150,0.573045,0.551475,0.491707,0.611242,0.961471,0.378202,0.833045,0.631385,0.499246,0.763524,0.989492,0.367033
160,0.573878,0.549197,0.490725,0.607668,0.960194,0.377466,0.832624,0.631256,0.499124,0.763386,0.989720,0.366770
