Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,-0.122652,0.360800,0.377233,0.344366,0.722639,0.532839,-0.138816,0.356750,0.358049,0.355450,0.720365,0.527817
20,-0.056338,0.451474,0.496618,0.406331,0.722910,0.659052,0.264152,0.477791,0.486370,0.469212,0.735804,0.635227
30,0.242995,0.448936,0.502707,0.395164,0.749064,0.497746,0.299423,0.465938,0.490268,0.441608,0.697410,0.539958
40,0.327893,0.600706,0.654479,0.546934,0.896754,0.574866,0.443374,0.680274,0.695048,0.665500,0.958768,0.583103
50,0.312032,0.586629,0.635691,0.537568,0.897165,0.559537,0.452226,0.698772,0.710996,0.686546,0.952251,0.601665
60,0.370994,0.598958,0.642498,0.555420,0.869010,0.582177,0.548525,0.731534,0.735874,0.727193,0.971860,0.616572
70,0.384547,0.624684,0.663003,0.586366,0.908734,0.587834,0.547234,0.752012,0.754872,0.749150,0.968238,0.640214
80,0.386707,0.627824,0.663769,0.591880,0.907846,0.587509,0.556320,0.757336,0.757706,0.756965,0.968192,0.644895
90,0.384861,0.624256,0.662055,0.586455,0.902887,0.589068,0.553396,0.760993,0.761470,0.760515,0.965549,0.651444
100,0.383918,0.626124,0.663831,0.588417,0.901810,0.591532,0.555982,0.761561,0.762374,0.760749,0.965265,0.652616
110,0.386938,0.624657,0.662008,0.587306,0.902101,0.589170,0.556787,0.762068,0.763072,0.761064,0.965861,0.652872
120,0.387060,0.625236,0.661751,0.588720,0.902274,0.588814,0.560086,0.761962,0.762698,0.761225,0.964849,0.653019
130,0.386222,0.624306,0.661142,0.587470,0.902150,0.588866,0.560403,0.762561,0.763385,0.761737,0.965354,0.653785
140,0.384970,0.623409,0.661582,0.585237,0.901943,0.589096,0.558961,0.763454,0.765113,0.761795,0.964868,0.656548
150,0.386207,0.624886,0.662032,0.587740,0.901982,0.589727,0.561569,0.764486,0.766421,0.762551,0.965417,0.657816
160,0.385829,0.624820,0.661796,0.587845,0.899540,0.590836,0.562563,0.765275,0.767030,0.763520,0.963708,0.658883
