Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.101416,0.485122,0.548601,0.421642,0.906588,0.458259,0.157809,0.490780,0.544109,0.437451,0.901087,0.465226
20,0.175068,0.454808,0.475387,0.434229,0.737335,0.558586,0.205941,0.469480,0.467854,0.471106,0.747722,0.579735
30,0.281008,0.563554,0.611262,0.515848,0.932121,0.520404,0.343731,0.642541,0.644406,0.640676,0.961966,0.523509
40,0.283629,0.607069,0.660962,0.553176,0.917017,0.574388,0.420219,0.696043,0.714677,0.677409,0.956010,0.602056
50,0.328876,0.612500,0.657253,0.567748,0.899971,0.577264,0.459310,0.716866,0.725720,0.708012,0.956839,0.611348
60,0.358000,0.626588,0.658347,0.594830,0.915409,0.578058,0.474543,0.732770,0.732136,0.733406,0.961914,0.619813
70,0.387750,0.637500,0.663215,0.611784,0.921406,0.574776,0.526624,0.756816,0.751200,0.762432,0.973582,0.634178
80,0.393699,0.627956,0.650305,0.605605,0.903972,0.572885,0.541454,0.763792,0.757622,0.769962,0.971896,0.642777
90,0.398146,0.633561,0.656316,0.610806,0.911684,0.574332,0.550444,0.764144,0.757022,0.771266,0.974539,0.642194
100,0.398945,0.630804,0.651512,0.610096,0.908967,0.570113,0.547955,0.764958,0.757788,0.772130,0.972864,0.643596
110,0.401571,0.629630,0.650711,0.608549,0.907531,0.568081,0.551329,0.766186,0.759116,0.773256,0.972803,0.645070
120,0.399779,0.630055,0.650748,0.609362,0.907594,0.568502,0.552381,0.767116,0.759955,0.774277,0.971635,0.646152
130,0.400983,0.629948,0.651320,0.608577,0.905760,0.569728,0.552239,0.767331,0.760734,0.773928,0.971308,0.647487
140,0.401015,0.629936,0.650776,0.609096,0.904780,0.569855,0.550299,0.767922,0.761009,0.774835,0.971263,0.647933
150,0.401485,0.628018,0.646054,0.609983,0.902410,0.569037,0.553032,0.766246,0.760387,0.772104,0.971143,0.646955
160,0.400641,0.626553,0.645431,0.607676,0.899844,0.569819,0.554951,0.766714,0.760547,0.772882,0.970705,0.647260
