Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.014721,0.159762,0.166748,0.152777,0.992418,0.102137,0.008210,0.159723,0.166520,0.152925,0.993379,0.101851
20,0.011193,0.168510,0.166059,0.170961,0.991588,0.101918,0.014055,0.166196,0.165638,0.166754,0.994763,0.101224
30,0.011853,0.165237,0.164006,0.166469,0.994734,0.100565,0.005629,0.167118,0.166006,0.168230,0.992096,0.101604
40,0.003435,0.153805,0.165092,0.142519,0.989380,0.101338,0.005879,0.174496,0.166796,0.182196,0.994158,0.102326
50,0.007320,0.169239,0.165906,0.172572,0.992913,0.102068,0.002518,0.176829,0.166108,0.187550,0.993914,0.101893
60,0.006608,0.174100,0.168406,0.179794,0.996982,0.102798,0.006085,0.170846,0.165954,0.175739,0.994929,0.101743
70,0.002710,0.172502,0.167120,0.177883,0.995554,0.102154,0.005249,0.168986,0.166568,0.171404,0.992462,0.102218
80,0.003525,0.172450,0.167993,0.176906,0.996573,0.102448,0.003679,0.158956,0.164314,0.153599,0.995172,0.100410
90,0.015159,0.169383,0.167087,0.171678,0.996881,0.102362,0.006897,0.179295,0.163012,0.195578,0.992903,0.100105
100,0.009612,0.175339,0.167308,0.183370,0.989405,0.102642,0.022300,0.167639,0.166561,0.168716,0.995461,0.101710
110,0.008812,0.165063,0.168458,0.161669,0.994352,0.103100,0.010472,0.170475,0.163746,0.177204,0.994577,0.100430
120,0.012149,0.179256,0.165038,0.193474,0.990561,0.101339,0.007914,0.167491,0.165119,0.169863,0.993068,0.101378
130,0.006754,0.166984,0.167522,0.166446,0.993315,0.102499,0.004587,0.162690,0.162980,0.162400,0.991554,0.100208
140,0.003512,0.171148,0.166371,0.175926,0.996822,0.101758,0.008295,0.166164,0.164028,0.168298,0.992846,0.100770
150,0.017925,0.178934,0.164057,0.193810,0.990469,0.100889,0.007377,0.175621,0.166501,0.184740,0.995197,0.101972
160,0.024927,0.166772,0.163993,0.169551,0.994972,0.100610,0.005433,0.171526,0.165621,0.177432,0.994480,0.101609
