Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.014058,0.174152,0.158873,0.189431,0.997223,0.097056,0.005723,0.170126,0.165519,0.174733,0.995866,0.101598
20,0.024686,0.159117,0.163672,0.154560,0.995698,0.100032,0.005306,0.178919,0.170196,0.187642,0.991926,0.105269
30,0.009461,0.177864,0.162768,0.192960,0.990759,0.100022,0.013173,0.179990,0.168397,0.191583,0.994185,0.103418
40,0.004331,0.161677,0.160719,0.162635,0.997448,0.097916,0.015315,0.164100,0.168791,0.159410,0.991386,0.103920
50,0.030848,0.155570,0.167372,0.143769,0.991072,0.103226,0.015049,0.174018,0.168592,0.179443,0.994435,0.103724
60,0.022492,0.171762,0.167062,0.176464,0.997095,0.102376,0.023738,0.166951,0.166878,0.167023,0.989720,0.102287
70,0.004431,0.182372,0.161733,0.203012,0.995475,0.098649,0.045411,0.175049,0.163148,0.186950,0.994556,0.100016
80,0.023659,0.181530,0.169358,0.193703,0.990708,0.104278,0.008931,0.184566,0.167087,0.202044,0.992675,0.103386
90,0.007631,0.175188,0.168280,0.182096,0.994163,0.103419,0.051783,0.172809,0.168820,0.176798,0.992610,0.103745
100,0.010154,0.179193,0.164945,0.193440,0.989544,0.101714,0.007244,0.173596,0.172813,0.174380,0.995752,0.106140
110,0.006917,0.181699,0.170987,0.192411,0.995650,0.104809,0.026975,0.171974,0.163207,0.180742,0.993290,0.100400
120,0.007957,0.162305,0.163788,0.160822,0.995874,0.100320,0.035136,0.175106,0.171768,0.178445,0.994902,0.105408
130,0.021364,0.187755,0.168195,0.207315,0.994581,0.103016,0.009203,0.171795,0.165051,0.178540,0.993690,0.101493
140,0.011407,0.169273,0.168598,0.169948,0.994850,0.103258,0.021145,0.174635,0.160269,0.189002,0.995604,0.097944
150,0.028269,0.182116,0.167980,0.196252,0.997572,0.102739,0.009620,0.177527,0.166698,0.188356,0.995464,0.102292
160,0.009993,0.177727,0.165322,0.190133,0.994912,0.101784,0.024892,0.184536,0.167997,0.201074,0.992969,0.103520
