Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.024875,0.164834,0.163868,0.165800,0.995275,0.100590,0.013769,0.172444,0.166000,0.178888,0.992582,0.101958
20,0.031560,0.160791,0.166958,0.154624,0.992724,0.102909,0.002485,0.174354,0.161935,0.186774,0.991402,0.099396
30,0.005972,0.161952,0.166726,0.157178,0.996547,0.102443,0.024415,0.176044,0.170646,0.181440,0.991379,0.104832
40,0.008768,0.171533,0.166222,0.176843,0.994764,0.101861,0.004215,0.181981,0.162076,0.201886,0.992629,0.099635
50,0.047305,0.170776,0.158965,0.182587,0.987294,0.098090,0.007357,0.178131,0.173311,0.182951,0.995087,0.106678
60,0.012218,0.174049,0.165782,0.182316,0.992522,0.102160,0.002754,0.169048,0.170464,0.167630,0.994424,0.104706
70,0.002136,0.166069,0.163376,0.168764,0.994230,0.099793,0.005186,0.176674,0.163896,0.189450,0.996126,0.100291
80,0.005347,0.167276,0.166421,0.168131,0.992453,0.102716,0.030428,0.172565,0.163495,0.181635,0.993960,0.100119
90,0.005544,0.165229,0.166099,0.164359,0.993888,0.101872,0.007109,0.166319,0.161190,0.171448,0.993752,0.098870
100,0.006472,0.151021,0.162856,0.139186,0.991299,0.100506,0.005369,0.181966,0.171743,0.192189,0.991568,0.106262
110,0.004577,0.172466,0.170532,0.174400,0.991871,0.105404,0.018383,0.185446,0.169464,0.201428,0.991763,0.104542
120,0.010205,0.187040,0.169772,0.204307,0.991745,0.104549,0.010220,0.172816,0.167454,0.178179,0.992508,0.102997
130,0.010905,0.167850,0.162857,0.172844,0.994252,0.100024,0.003104,0.172560,0.166566,0.178554,0.992066,0.102892
140,0.027399,0.170700,0.170472,0.170929,0.992931,0.105122,0.024884,0.172402,0.166354,0.178449,0.992892,0.102253
150,0.004777,0.176736,0.168279,0.185194,0.993584,0.103188,0.007698,0.176814,0.160382,0.193247,0.990754,0.098318
160,0.026631,0.166577,0.166338,0.166816,0.987783,0.103166,0.031422,0.169073,0.164563,0.173583,0.993156,0.101094
