Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.006146,0.227925,0.239508,0.216343,0.964045,0.175686,0.035662,0.176287,0.164826,0.187748,0.996323,0.100382
20,0.012119,0.173493,0.163945,0.183040,0.991162,0.101478,0.029425,0.164256,0.162905,0.165606,0.993625,0.099916
30,0.002103,0.158083,0.165100,0.151066,0.991906,0.101303,0.008727,0.170875,0.167959,0.173790,0.995048,0.103216
40,0.010622,0.181525,0.165714,0.197335,0.995252,0.101244,0.007230,0.174066,0.167858,0.180274,0.990696,0.104285
50,0.010272,0.179803,0.167826,0.191781,0.993361,0.103797,0.038189,0.179171,0.166479,0.191862,0.991888,0.102436
60,0.022177,0.178202,0.163631,0.192772,0.997780,0.100012,0.013323,0.183486,0.163502,0.203471,0.995464,0.100284
70,0.007674,0.195525,0.169014,0.222035,0.992821,0.103766,0.031588,0.197142,0.167076,0.227208,0.994942,0.102332
80,0.013748,0.176816,0.164108,0.189525,0.993885,0.101022,0.063083,0.164517,0.163280,0.165754,0.993688,0.100173
90,0.033040,0.167016,0.167171,0.166861,0.988713,0.103703,0.038113,0.170900,0.164460,0.177338,0.992175,0.101311
100,0.009120,0.177311,0.162002,0.192620,0.992354,0.099979,0.020914,0.182212,0.165213,0.199211,0.991859,0.101682
110,0.042391,0.164377,0.163586,0.165169,0.990447,0.100430,0.056852,0.176930,0.164817,0.189043,0.997962,0.100713
120,0.045282,0.180038,0.164608,0.195469,0.994446,0.100912,0.041957,0.180054,0.168041,0.192066,0.995943,0.102904
130,0.014893,0.171290,0.165470,0.177109,0.988603,0.102055,0.021475,0.173727,0.164312,0.183142,0.991957,0.100608
140,0.014734,0.175640,0.159857,0.191423,0.993165,0.098216,0.027593,0.170942,0.166566,0.175317,0.995225,0.102219
150,0.025447,0.171117,0.165301,0.176932,0.996212,0.101562,0.029030,0.162336,0.161774,0.162898,0.993509,0.100605
160,0.032436,0.181639,0.165248,0.198030,0.993761,0.101502,0.024825,0.179611,0.162171,0.197052,0.994101,0.099560
