Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.210258,0.459110,0.505188,0.413031,0.934444,0.400056,0.244418,0.481390,0.516131,0.446649,0.937441,0.407481
20,0.360742,0.525614,0.576127,0.475101,0.936054,0.472249,0.538835,0.604969,0.625363,0.584576,0.960690,0.502766
30,0.417293,0.526626,0.592002,0.461251,0.879980,0.509709,0.591323,0.603439,0.616990,0.589887,0.914827,0.514301
40,0.454703,0.557948,0.614126,0.501771,0.873751,0.534383,0.727544,0.665881,0.669392,0.662370,0.918559,0.565643
50,0.486908,0.529641,0.566709,0.492574,0.852347,0.499196,0.739100,0.670344,0.665600,0.675087,0.903960,0.570903
60,0.539931,0.559494,0.610858,0.508131,0.852328,0.543934,0.803612,0.696030,0.681505,0.710555,0.922850,0.576996
70,0.558510,0.592598,0.625203,0.559993,0.889098,0.539061,0.828588,0.714748,0.679545,0.749951,0.942635,0.564903
80,0.565877,0.582282,0.616674,0.547890,0.887038,0.532234,0.830391,0.720538,0.684678,0.756398,0.941356,0.569572
90,0.561278,0.585611,0.617983,0.553239,0.889046,0.531768,0.832416,0.722410,0.686071,0.758749,0.945992,0.570327
100,0.567857,0.587885,0.616216,0.559554,0.884284,0.531268,0.832916,0.723980,0.685612,0.762347,0.942643,0.571625
110,0.570755,0.587221,0.615257,0.559186,0.886828,0.529186,0.832509,0.724680,0.687121,0.762238,0.940810,0.574060
120,0.570902,0.586636,0.613892,0.559379,0.884289,0.529009,0.833087,0.724300,0.685501,0.763100,0.942022,0.571536
130,0.566818,0.587825,0.616175,0.559476,0.886938,0.528417,0.833267,0.724180,0.685302,0.763058,0.942062,0.570967
140,0.565823,0.586716,0.615543,0.557890,0.889870,0.526521,0.833400,0.724830,0.686305,0.763356,0.942912,0.572624
150,0.567663,0.585502,0.614397,0.556607,0.889167,0.525178,0.833045,0.724402,0.685440,0.763364,0.942861,0.571738
160,0.568246,0.584592,0.614922,0.554262,0.890922,0.526380,0.832624,0.725103,0.686983,0.763224,0.942555,0.572796
