Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.014955,0.163114,0.164992,0.161236,0.993838,0.101086,0.037881,0.166394,0.165843,0.166946,0.995576,0.101371
20,0.023682,0.163909,0.165633,0.162184,0.995167,0.101036,0.002701,0.166433,0.165005,0.167860,0.994432,0.101105
30,0.025496,0.172909,0.165710,0.180108,0.995991,0.101513,0.031562,0.167990,0.166297,0.169684,0.995441,0.101660
40,0.007792,0.159404,0.165781,0.153026,0.995546,0.101516,0.011958,0.164328,0.165259,0.163398,0.996688,0.100791
50,0.029483,0.160992,0.165091,0.156892,0.995688,0.100835,0.006561,0.168705,0.165948,0.171463,0.994928,0.101467
60,0.011663,0.157396,0.165361,0.149430,0.995180,0.101598,0.015761,0.165905,0.166480,0.165330,0.997352,0.101586
70,0.008075,0.171714,0.167817,0.175612,0.993986,0.102696,0.011310,0.174248,0.168429,0.180067,0.996929,0.102904
80,0.016568,0.168176,0.165638,0.170715,0.992112,0.101628,0.016502,0.166618,0.166719,0.166518,0.995937,0.102056
90,0.011208,0.168106,0.164345,0.171868,0.996276,0.100460,0.031571,0.164761,0.165655,0.163866,0.997932,0.100988
100,0.013058,0.162294,0.165920,0.158668,0.995036,0.101424,0.047991,0.163979,0.166233,0.161726,0.995977,0.101540
110,0.026794,0.163487,0.163657,0.163317,0.993341,0.100118,0.015263,0.167264,0.164452,0.170076,0.997164,0.100267
120,0.018165,0.167882,0.165397,0.170367,0.994295,0.101071,0.016938,0.169547,0.166092,0.173002,0.997595,0.101481
130,0.008463,0.166011,0.166499,0.165523,0.994530,0.102013,0.006461,0.155619,0.167650,0.143588,0.996432,0.102359
140,0.037767,0.167573,0.165870,0.169275,0.994978,0.101408,0.010028,0.161296,0.165927,0.156665,0.994892,0.101514
150,0.011315,0.164342,0.165536,0.163148,0.995933,0.101326,0.007353,0.167922,0.166080,0.169765,0.993428,0.102078
160,0.006970,0.169890,0.165774,0.174006,0.994217,0.101249,0.025270,0.170039,0.166913,0.173164,0.998386,0.101768
