Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.111651,0.230005,0.191684,0.268326,0.991806,0.119494,0.136728,0.240038,0.191412,0.288665,0.992351,0.118942
20,0.205354,0.258006,0.185541,0.330470,0.991875,0.114625,0.281689,0.284610,0.185502,0.383717,0.994379,0.113934
30,0.261353,0.289118,0.190663,0.387572,0.991359,0.118072,0.382468,0.320321,0.192919,0.447723,0.994773,0.118806
40,0.280828,0.301752,0.196964,0.406540,0.988875,0.122268,0.472627,0.345958,0.200352,0.491564,0.991373,0.123926
50,0.374601,0.317802,0.204491,0.431112,0.984577,0.127429,0.593473,0.385412,0.208688,0.562137,0.990506,0.129335
60,0.423378,0.337707,0.204924,0.470489,0.990600,0.126420,0.646100,0.407302,0.209660,0.604944,0.994447,0.129447
70,0.436779,0.343256,0.206015,0.480497,0.990299,0.127538,0.681200,0.417194,0.210942,0.623446,0.993464,0.130308
80,0.432385,0.345684,0.206987,0.484380,0.990272,0.128257,0.693254,0.422890,0.211919,0.633860,0.994093,0.130803
90,0.436083,0.345617,0.207360,0.483874,0.987890,0.128701,0.702560,0.426445,0.212811,0.640080,0.994785,0.131299
100,0.435778,0.344800,0.206914,0.482685,0.984885,0.128781,0.702916,0.427293,0.212928,0.641657,0.994476,0.131328
110,0.441189,0.346593,0.208211,0.484975,0.988732,0.129239,0.702553,0.426968,0.213479,0.640456,0.994922,0.131695
120,0.442478,0.346814,0.208520,0.485109,0.988715,0.129456,0.704363,0.427403,0.213713,0.641093,0.994664,0.131868
130,0.441394,0.347398,0.208738,0.486057,0.988798,0.129599,0.702308,0.427192,0.213262,0.641121,0.994404,0.131526
140,0.437423,0.345036,0.208756,0.481316,0.988820,0.129580,0.704210,0.428456,0.213128,0.643785,0.994646,0.131409
150,0.442589,0.345753,0.208644,0.482862,0.988473,0.129589,0.705080,0.428952,0.213216,0.644688,0.994506,0.131488
160,0.443824,0.346204,0.208764,0.483645,0.988223,0.129635,0.703536,0.428820,0.213449,0.644191,0.994394,0.131611
