Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.053958,0.186855,0.203820,0.169890,0.879381,0.148600,0.086244,0.209496,0.205278,0.213715,0.884858,0.145614
20,-0.168408,0.165174,0.171358,0.158990,0.681546,0.370219,-0.112347,0.199832,0.178009,0.221656,0.702478,0.365537
30,-0.152212,0.162582,0.149899,0.175266,0.639585,0.370278,-0.063713,0.198681,0.154046,0.243317,0.654115,0.351381
40,0.124801,0.189835,0.159448,0.220221,0.683278,0.242718,0.183843,0.206839,0.154235,0.259443,0.692703,0.272535
50,0.138497,0.186345,0.166679,0.206011,0.732994,0.218093,0.207807,0.227136,0.176100,0.278173,0.708022,0.264050
60,0.201102,0.256803,0.225061,0.288544,0.922166,0.157317,0.263424,0.274627,0.215859,0.333395,0.914058,0.145631
70,0.235005,0.274111,0.232191,0.316030,0.939334,0.159849,0.304949,0.309726,0.232732,0.386719,0.955987,0.152854
80,0.238818,0.275562,0.231077,0.320048,0.944303,0.158206,0.349918,0.320023,0.232518,0.407528,0.962484,0.151155
90,0.243117,0.281904,0.237888,0.325922,0.943822,0.162531,0.375972,0.333872,0.238383,0.429361,0.963636,0.154624
100,0.244133,0.283228,0.240893,0.325562,0.946330,0.163673,0.384586,0.337670,0.239928,0.435412,0.964395,0.155439
110,0.249599,0.286010,0.242978,0.329043,0.947552,0.164791,0.385449,0.339678,0.241152,0.438204,0.964584,0.156130
120,0.250267,0.286458,0.242495,0.330420,0.948700,0.164069,0.389677,0.339469,0.241084,0.437854,0.964572,0.155773
130,0.243293,0.285996,0.242847,0.329146,0.947408,0.164451,0.391175,0.339906,0.241608,0.438204,0.964697,0.156247
140,0.254745,0.288718,0.243378,0.334059,0.948215,0.164832,0.389523,0.339758,0.241408,0.438109,0.965955,0.155932
150,0.255108,0.288054,0.243269,0.332840,0.947310,0.164776,0.388612,0.340125,0.242218,0.438032,0.965814,0.156476
160,0.251796,0.288128,0.243188,0.333068,0.948111,0.164495,0.393785,0.341280,0.241807,0.440753,0.965656,0.156133
