Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.150407,0.244461,0.202131,0.286790,0.938904,0.135755,0.163081,0.261893,0.205076,0.318710,0.947841,0.138892
20,0.234301,0.273758,0.190558,0.356959,0.943412,0.126464,0.324018,0.302630,0.196701,0.408560,0.958206,0.128045
30,0.277777,0.292128,0.197345,0.386910,0.945713,0.130992,0.428734,0.332663,0.206646,0.458680,0.964193,0.132282
40,0.326793,0.311969,0.199246,0.424692,0.944428,0.132330,0.536068,0.368289,0.210617,0.525961,0.969558,0.132902
50,0.373344,0.327516,0.210720,0.444312,0.945427,0.140520,0.603517,0.398142,0.219398,0.576886,0.975506,0.138514
60,0.396545,0.336092,0.209603,0.462582,0.946982,0.138849,0.635924,0.412285,0.218850,0.605719,0.980434,0.137033
70,0.399077,0.338244,0.208535,0.467954,0.949933,0.137899,0.679332,0.425581,0.217568,0.633594,0.982788,0.135735
80,0.427917,0.338469,0.208473,0.468464,0.948436,0.138133,0.695661,0.431484,0.217904,0.645063,0.983293,0.135783
90,0.432660,0.338377,0.208825,0.467929,0.948675,0.138129,0.709791,0.433416,0.217752,0.649082,0.983632,0.135485
100,0.420454,0.337986,0.208552,0.467420,0.947193,0.138024,0.710606,0.433896,0.217703,0.650089,0.985195,0.135255
110,0.416626,0.336688,0.208880,0.464496,0.947454,0.138176,0.703933,0.434329,0.218074,0.650584,0.985547,0.135459
120,0.416180,0.337208,0.209305,0.465111,0.947750,0.138424,0.710012,0.434725,0.218058,0.651392,0.985943,0.135394
130,0.411431,0.333726,0.209006,0.458447,0.948050,0.138112,0.702464,0.434711,0.217706,0.651717,0.985835,0.135115
140,0.413463,0.336170,0.208682,0.463658,0.947726,0.138045,0.701539,0.436120,0.217636,0.654605,0.986021,0.135033
150,0.416557,0.339214,0.208800,0.469628,0.947592,0.138126,0.709476,0.435889,0.217686,0.654093,0.985981,0.135044
160,0.419224,0.340399,0.208416,0.472382,0.947606,0.137782,0.707895,0.435908,0.217640,0.654175,0.985939,0.134965
